id;type;model;size;diameter;Q_min;Q_max;P_min;P_max;N_y_kW;eta;price;status;corrected;eff_imputed;error
1118;ВКОП;ВКОП 30-160-050-3;ВКОП 30-160-050;500;3240.00;21800.00;57.00;466.00;1.1000;0.0466;104000;CORRECT;0;1;E0: OK
1119;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;3250.00;20000.00;59.00;420.00;15.0000;0.0036;318200;CORRECT;0;1;E0: OK
1120;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;3280.00;23710.00;53.00;471.00;0.7500;0.0644;99900;NEEDS CHECK;0;1;E0: OK
1121;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2830.00;28190.00;50.00;476.00;0.2500;0.1572;76500;ERROR DETECTED;0;1;E4: Efficiency OOR
1122;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;3050.00;20160.00;53.00;430.00;0.7500;0.0599;92700;NEEDS CHECK;0;1;E0: OK
1123;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;3060.00;23770.00;59.00;445.00;15.0000;0.0033;323600;CORRECT;0;1;E0: OK
1124;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2690.00;22870.00;57.00;444.00;4.0000;0.0106;150900;CORRECT;0;1;E0: OK
1125;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;2720.00;26550.00;58.00;445.00;5.5000;0.0080;174400;CORRECT;0;1;E0: OK
1126;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2350.00;29030.00;58.00;452.00;3.0000;0.0126;126200;CORRECT;0;1;E0: OK
1127;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2370.00;26860.00;57.00;425.00;0.2500;0.1501;80600;ERROR DETECTED;0;1;E4: Efficiency OOR
1128;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2360.00;27150.00;59.00;448.00;0.3700;0.1045;86100;ERROR DETECTED;0;1;E4: Efficiency OOR
1129;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2530.00;20770.00;54.00;435.00;7.5000;0.0051;198500;CORRECT;0;1;E0: OK
1130;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;3000.00;24090.00;60.00;460.00;2.2000;0.0227;117900;CORRECT;0;1;E0: OK
1131;ВКОП;ВКОП 30-160-050-3;ВКОП 30-160-050;500;3290.00;25420.00;54.00;451.00;0.5500;0.0897;86000;NEEDS CHECK;0;1;E0: OK
1132;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;3140.00;24830.00;56.00;455.00;3.0000;0.0163;118700;CORRECT;0;1;E0: OK
1133;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;2920.00;27180.00;51.00;401.00;0.2500;0.1655;76000;ERROR DETECTED;0;1;E4: Efficiency OOR
1134;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2880.00;20680.00;52.00;440.00;0.7500;0.0555;96400;NEEDS CHECK;0;1;E0: OK
1135;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;2460.00;25100.00;60.00;475.00;11.0000;0.0037;266400;CORRECT;0;1;E0: OK
1136;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;3310.00;25490.00;52.00;423.00;1.1000;0.0435;90400;CORRECT;0;1;E0: OK
1137;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;2730.00;20680.00;52.00;414.00;0.7500;0.0526;96100;NEEDS CHECK;0;1;E0: OK
