id;type;model;size;diameter;Q_min;Q_max;P_min;P_max;N_y_kW;eta;price;status;corrected;eff_imputed;error
1118;ВКОП;ВКОП 30-160-050-3;ВКОП 30-160-050;500;3240.00;21800.00;57.00;466.00;1.1000;0.0466;104000;CORRECT;0;1;No error
1119;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;3250.00;20000.00;59.00;420.00;15.0000;0.0036;318200;NEEDS CHECK;0;1;No error
1120;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;3280.00;23710.00;53.00;471.00;0.7500;0.0644;99900;CORRECT;0;1;No error
1121;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2830.00;28190.00;50.00;476.00;0.2500;0.1572;76500;CORRECT;0;1;No error
1122;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;3050.00;20160.00;53.00;430.00;0.7500;0.0599;92700;CORRECT;0;1;No error
1123;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;3060.00;23770.00;59.00;445.00;15.0000;0.0033;323600;NEEDS CHECK;0;1;No error
1124;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2690.00;22870.00;57.00;444.00;4.0000;0.0106;150900;NEEDS CHECK;0;1;No error
1125;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;2720.00;26550.00;58.00;445.00;5.5000;0.0080;174400;NEEDS CHECK;0;1;No error
1126;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2350.00;29030.00;58.00;452.00;3.0000;0.0126;126200;CORRECT;0;1;No error
1127;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2370.00;26860.00;57.00;425.00;0.2500;0.1501;80600;CORRECT;0;1;No error
1128;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2360.00;27150.00;59.00;448.00;0.3700;0.1045;86100;CORRECT;0;1;No error
1129;ВКОП;ВКОП 30-160-050-4;ВКОП 30-160-050;500;2530.00;20770.00;54.00;435.00;7.5000;0.0051;198500;NEEDS CHECK;0;1;No error
1130;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;3000.00;24090.00;60.00;460.00;2.2000;0.0227;117900;CORRECT;0;1;No error
